epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4297,3.28081,4.6268,2.74218,0.00036,0.00453,0.00019,8e-05,3.16376,4.6268,2.88586,5.383e-05,5.383e-05,5.383e-05
2,71.6865,2.87754,4.56658,2.43195,0.00061,0.00534,0.00034,8e-05,2.45122,4.63668,2.37772,0.000113066,0.000113066,0.000113066
3,93.1901,2.51092,4.44679,2.08433,0.00306,0.0283,0.00165,0.00069,2.48004,4.64556,2.33238,0.000169866,0.000169866,0.000169866
4,117.813,2.39071,4.35609,1.87676,0.00366,0.03891,0.00227,0.001,2.35805,4.64491,2.24726,0.00022423,0.00022423,0.00022423
5,142.768,2.18536,4.27779,1.73885,0.00564,0.05727,0.0039,0.00211,2.23493,4.62952,2.21181,0.000276157,0.000276157,0.000276157
6,171.385,2.07745,4.19561,1.67271,0.00628,0.06459,0.00462,0.00227,2.06081,4.60591,2.07677,0.000325648,0.000325648,0.000325648
7,195.942,2.01744,4.13914,1.59672,0.00398,0.03692,0.00363,0.00203,2.58701,4.62549,2.60495,0.000372704,0.000372704,0.000372704
8,222.959,1.96301,4.09989,1.59118,0.01047,0.10282,0.00896,0.00281,2.37007,4.534,2.27866,0.000417322,0.000417322,0.000417322
9,246.659,1.89723,4.03462,1.57027,0.01138,0.12467,0.00953,0.00271,2.6017,4.4813,2.46523,0.000459505,0.000459505,0.000459505
10,269.66,2.04148,4.02046,1.57442,0.01524,0.16465,0.01319,0.00444,2.13495,4.3009,1.88802,0.000499252,0.000499252,0.000499252
11,293.936,1.97259,3.93023,1.4958,0.01968,0.19776,0.01814,0.00684,2.10096,4.11704,1.78649,0.000536562,0.000536562,0.000536562
12,319.703,1.90885,3.90986,1.48817,0.02023,0.21032,0.01627,0.00556,2.40485,3.90087,1.96315,0.000571436,0.000571436,0.000571436
13,345.684,1.89776,3.89361,1.51418,0.0193,0.13106,0.01445,0.00472,2.28872,3.68638,1.6757,0.000586286,0.000586286,0.000586286
14,372.066,2.01951,3.84325,1.51489,0.02262,0.23909,0.01944,0.0081,1.93789,3.74516,1.48688,0.000571059,0.000571059,0.000571059
15,396.841,1.95217,3.76996,1.54338,0.023,0.22066,0.01896,0.00917,1.95718,3.58027,1.45861,0.000555833,0.000555833,0.000555833
16,420.585,1.883,3.77474,1.52132,0.02776,0.25341,0.02327,0.01019,2.2564,3.70293,1.57646,0.000540607,0.000540607,0.000540607
17,445.584,1.88206,3.67005,1.46771,0.03125,0.28525,0.02517,0.01136,2.21936,3.82344,1.55176,0.000525381,0.000525381,0.000525381
18,470.456,1.89696,3.61993,1.43739,0.031,0.30176,0.02686,0.01183,1.96738,3.85022,1.42731,0.000510155,0.000510155,0.000510155
19,494.556,1.90483,3.60092,1.45405,0.02921,0.28889,0.02489,0.01067,1.88429,3.70832,1.39622,0.000494928,0.000494928,0.000494928
